ID,TOWN-CODE,Turnover_Ingresos_2012,Turnover_Ingresos_2011,WorkingCapital_FondoManiobra_2012,WorkingCapital_FondoManiobra_2011,CurrentAssets_ActivoCirculante_2012,CurrentAssets_ActivoCirculante_2011,CurrentLiability_PasivoLiquido_2012,CurrentLiability_PasivoLiquido_2011,Amortization_Amortizacion_2012,Amortization_Amortizacion_2011,IntangibleAssets_InmovilizadoInmaterial_2012,IntangibleAssets_InmovilizadoInmaterial_2011,TangibleAssets_InmovilizadoMaterial_2012,TangibleAssets_InmovilizadoMaterial_2011,AverageCollectionPeriod_PeriodoMedioDeCobro_2012,AverageCollectionPeriod_PeriodoMedioDeCobro_2011,AveragePaymentPeriod_PeriodoMedioDePago_2012,AveragePaymentPeriod_PeriodoMedioDePago_2011,InventoryTurnOver_RotacionDeInventario_2012,InventoryTurnOver_RotacionDeInventario_2011,Dividends_Dividendo_2011,Dividends_Dividendo_2012,LeveragePerc_ApalancamientoPerc_2012,LeveragePerc_ApalancamientoPerc_2011,Procurements_Aprovisionamientos_2011,Procurements_Aprovisionamientos_2012,Equity_Capital_2012,Equity_Capital_2011,Cash_Tesoreria_2012,Cash_Tesoreria_2011,ShortTermFinancialInvestments_InversionesFinancierasCortoPlazo_2011,ShortTermFinancialInvestments_InversionesFinancierasCortoPlazo_2012,LongTermFinancialInvestments_InversionesFinancierasLargoPlazo_2012,LongTermFinancialInvestments_InversionesFinancierasLargoPlazo_2011,Stock_Existencias_2012,Stock_Existencias_2011,FinancialExpenditures_2012,FinancialExpenditures_2011,FinancialDebt_DeudasFinancieras_2012,FinancialDebt_DeudasFinancieras_2011,LongTermDebt_DeudasLargoPlazo_2012,LongTermDebt_DeudasLargoPlazo_2011,ShortTermDebt_DeudasCortoPlazo_2012,ShortTermDebt_DeudasCortoPlazo_2011,TARGET
768,767,162.71533,162.79177,3.28376,-3.2893,20.80958,7.74973,18.72824,63.44437,17.14619,19.94218,3.43813,3.43813,62.64803,68.69422,8.345,5.32,35.453,30.49,45.074,17.355,0,0,-879.73,96.59,-49.14727,-37.45204,163.1,163.1,6.91965,2.97425,0,5.4286,10.6866,9.67635,4.68926,2.3694,0.33236,0.46737,8.0539,9.168,90,8.16705,8.0539,54.23419,0
769,808,4122.09678,4257.54976,1651.940099,1774.5417,3553.71711,3527.94932,2625.69615,2664.82999,25.19494,32.56498,0.0245,0.176,376.24884,401.17448,259.473,257.092,187.294,169.74,55.178,45.437,0,0,114.716,236.471,-3697.34746,-3627.2078,180,180,19.33802,11.8723,8.9,7.38138,0.60825,2.15025,555.95236,466.66628,156.27318,126.67161,145.73533,835.02847,629.2297,638.60894,145.73533,835.02847,1
770,563,366.40147,407.97331,59.67674,51.17261,59.67674,51.17261,125.44232,106.14152,20.759,21.29789,0,0,81.85518,102.61418,58.634,45.155,86.375,121.837,0,0,0,0,-237.093,-229.903,-0.21564,0,3.06,3.06,0,0,0,0,2.54576,2.54576,0,0,7.52568,9.04573,48.29968,22.60736,67.4596,106.23141,95.32226,60.2516,0
771,767,64.21091,0,-1.30042,0,20.25546,0,223.81731,0,68.64,0,0,0,320.61567,0,3.028,0,231.445,0,0,0,0,0,-251.616,0,0,0,3.01,0,16.70536,0,0,3.01,0,0,0,0,20.54016,0,204.43748,0,329.0964,0,218.70748,0,0
772,1486,1769.98663,2322.50359,720.95058,635.932859,1097.49128,1220.57797,490.69999,484.57513,94.62128,113.85498,38.20455,47.33055,871.70461,742.92178,129.416,110.792,150.498,121.5,187.445,93.088,0,0,39.895,32.294,-999.62266,-630.42902,108.48268,108.48268,123.60375,212.99303,25.00001,0.00001,117.85043,117.85043,328.25357,258.48194,12.57431,10.86217,120.17311,0.059,360.15507,380.46922,120.17311,27.39316,0
773,1086,136.37355,128.63718,8.65304,17.03165,38.35418,49.69707,127.04822,114.94893,33.20389,32.00336,0,0,477.37038,510.57427,22.842,47.664,209.429,231.851,0,0,0,0,340.837,279.173,0,0,3.006,3.006,29.44801,31.81229,0.85313,0.25313,0,0,0,0,10.17659,9.74541,19.14654,18.05866,307.9374,327.36992,66.48435,64.97171,0
774,601,304.85925,248.31946,93.339049,78.189709,96.4014,92.21268,70.22938,58.83082,1.76225,2.16625,0,0,4.03678,3.39903,109.675,127.001,274.062,252.621,1778.456,0,0,0,49.362,89.201,-12.97696,-0.71354,19.565,19.565,0,4.61039,0,0,0.74868,0.74268,3.525,0,2.14361,1.66829,8.67657,9.29815,4.62448,13.30089,15.6389,10.05816,0
775,1258,567.06911,753.46913,38.97172,-12.41525,291.47211,258.16793,319.83787,316.16709,12.72552,0,56.21042,56.21042,299.66127,226.63328,133.372,87.414,249.085,199.929,62.144,39.107,0,0,271.476,217.152,-440.60903,-366.67347,12.02024,12.02024,3.68244,12.80237,14.54472,14.40598,0,0,63.29648,47.86448,3.39592,3.19703,18.83708,14.67383,234.2717,149.32292,19.43016,21.03626,1
776,880,2667.06444,3049.30171,3120.218829,4253.592859,3677.34422,5513.59965,724.82348,2597.03496,0,0,0.31258,0.31258,301.90783,397.47292,69.254,128.025,98.473,247.294,655.493,660.314,0,0,528.228,686.143,-1998.24815,-1568.08829,498.5,498.5,61.25526,0.90805,763.08258,247.81299,515.8,507,2855.2,3665.2,295.22391,328.26437,236.096789,315.7656,3132.77367,3295.09569,236.09679,913.8301,0
777,22,182.44226,140.61856,24.16905,11.04531,42.11691,33.5331,38.93416,33.93687,5.46175,5.07713,0.06154,0.07721,104.53374,109.19157,22.774,18.022,127.506,116.209,125.688,89.969,0,0,752.092,0,-83.23816,-86.31049,3.1,3.1,0.44108,5.69079,0,0,1.2,1.2,30.13398,20.80249,5.68027,4.97058,0.12457,0,96.17395,103.05044,0.12457,0,1
